Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew
265,still walking,2008,twelve year beloved eldest son junpei drowned saving stranger life kyohei yoshio harada toshiko kirin kiki welcome surviving child home family reunion younger son ryota hiroshi abe still feel parent resent isnt one died new wife yukari yui natsukawa awkwardly meeting rest family first time daughter chinami strain fill uncomfortable pause forced cheer,100,90.0,hirokazu koreedas film may seem modest first family drama cast delicate entrancing spell,64,2500,art house international,unknown,drama,japanese,hirokazu koreeda,yoshihiro kato satoshi kono hijiri taguchi masahiro yasuda,hirokazu koreeda,aug 28 2009 limited,jul 23 2016,1635k,1h 54m,ifc film,unknown,unknown,unknown,hiroshi abe yoshio harada ryôga hayashi haruko kato kirin kiki yui natsukawa hotaru nomoto kazuya takahashi shohei tanaka hirokazu koreeda hirokazu koreeda yoshihiro kato satoshi kono hijiri taguchi hirokazu koreeda
266,mother,1999,greek saying state woman washed eye tear see clearly saying hold true manuela night car ran son esteban manuela cried eye ran completely dry far seeing clearly present future become mixed darkness begin looking father become transvestite,98,93.0,almodovar weave together magnificent tapestry femininity affectionate wink classic theater cinema poignant story love loss compassion,90,50000,art house international,r sexualitylanguagesome drug contentstrong sexual dialogue,comedy drama,spanish spain,pedro almodóvar,agustín almodóvar,pedro almodóvar,unknown,feb 12 2014,83m,1h 39m,via digital el deseo sa,dolby sr dolby digital surround,scope 2351,unknown,cecilia roth eloy azorín marisa paredes penélope cruz antonia san juan rosa maría sardá toni canto pedro almodóvar pedro almodóvar agustín almodóvar michel ruben affonso beato josé salcedo antxón gómez antxón gómez
267,poetry,2010,end life woman search new meaning,100,86.0,poetry absorbing poignant drama offer easy answer complex central conflict,72,5000,art house international,unknown,drama,korean,changdong lee,jundong lee,changdong lee,unknown,aug 10 2016,3550k,2h 19m,painhauseupilreum,unknown,unknown,unknown,jeonghee yoon dawit lee hira kim ahn naesang yongtaek kim changdong lee changdong lee jundong lee hyun seok kim hyun kim
268,band visit,2007,eight egyptian musician comprise alexandria ceremonial police orchestra arrive mistake small town israel negev desert booking set different city transportation town hotel stay band settle restaurant owned dina ronit elkabetz offer lodging overcoming ethnic barrier egyptian find diversion companionship israeli pervading undercurrent shared melancholy,98,86.0,band visit clever subtle sliceoflife comedy poignant crosscultural exploration,119,10000,art house international,pg13 brief strong language,comedy drama,arabic,eran kolirin,ehud bleiberg koby galraday guy jacoel eilon ratzkovsky yossi uzrad,eran kolirin,feb 8 2008 limited,jul 30 2013,31m,1h 26m,july august production keshet broadcasting tel aviv bleiberg entertainment,dolby digital,unknown,unknown,sasson gabai ronit elkabetz saleh bakri khalifa natour rubi moskovitz uri gavriel imad jabarin hilla sarjon eran kolirin eran kolirin ehud bleiberg koby galraday guy jacoel eilon ratzkovsky yossi uzrad shai goldman arik leibovitch
270,seventh seal,1956,disillusioned swedish knight antonius block max von sydow return home crusade find country grip black death challenge death bengt ekerot chess match life tormented belief god exist block set journey meeting traveling player jof nil poppe wife mia bibi andersson becoming determined evade death long enough commit one redemptive act still life,93,93.0,narratively bold visually striking seventh seal brought ingmar bergman world stage remains every bit compelling today,61,25000,art house international,unknown,drama fantasy,swedish,ingmar bergman,allan ekelund,ingmar bergman,unknown,aug 10 2016,unknown,1h 36m,svensk filmindustri,mono,unknown,unknown,max von sydow gunnar björnstrand nil poppe bibi andersson bengt ekerot inga gill gunnel lindblom bertil anderberg ingmar bergman ingmar bergman allan ekelund gunnar fischer pa lundgren manne lindholm
271,waste land,2010,located outside rio de janeiro jardim gramacho brazil world largest garbage landfill modern artist vik muniz work socalled catadores men woman pick refuse create art recycled material muniz selects six garbage picker pose subject series photograph mimicking famous painting desire assist catadores change life muniz find changed well,100,90.0,waste land begin ecofriendly premise quickly transforms uplifting portrait power art dignity human spirit,71,5000,art house international,pg,documentary,english,lucy walker karen harley joão jardim,angus aynsley,unknown,oct 29 2010 limited,nov 18 2016,1877k,1h 38m,unknown,unknown,unknown,unknown,vik muniz lucy walker karen harley joão jardim fernando meirelles jackie de botton angus aynsley moby pedro ko
272,taste others,2000,castella jeanpierre bacri successful businessman caught behind fastchanging time boredom interest allows wife anglique christiane millet drag performance racine bérénice much surprise overwhelmed power beauty lead actress clara anne alvaro finally two polar opposite forced together castella try learn english english teacher turn clara,100,82.0,taste others fresh witty comedy attraction opposite character welldrawn engaging social interaction believable,59,5000,art house international,r,comedy,french france,agnès jaoui,charles gassot,jeanpierre bacri agnès jaoui,unknown,feb 26 2002,6353k,1h 52m,le studio canal le film a4 france 2 cinema,dolby stereo dolby digital dolby dts dolby sr,scope 2351,unknown,jeanpierre bacri anne alvaro alain chabat brigitte catillon christiane millet wladimir yordanoff xavier de guillebon jeanpierre bacri charles gassot laurent dailland hervé de luze brigitte moidon jackie budin jacky reynal
273,godzilla,1954,firebreathing behemoth terrorizes japan atomic bomb awakens centuriesold sleep,93,89.0,straight monstermovie fare gojira offer potent sobering postwar commentary,74,5000,art house international,unknown,sci fi,japanese,ishirô honda,tomoyuki tanaka,ishirô honda shigeru kayama,unknown,apr 20 2014,unknown,1h 38m,toho company ltd jewell enterprise,unknown,unknown,godzilla,takashi shimura momoko kochi akira takarada akihiko hirata sachio sakai fuyuki murakami ren yamamoto ishirô honda ishirô honda shigeru kayama tomoyuki tanaka masao tamai
274,amour,2012,retired music teacher george jeanlouis trintignant anne emmanuelle riva spent life devoted career relationship face greatest challenge anne suffers debilitating stroke though george suffers ache infirmity old age bravely ignores discomfort take care wife determined keep promise never go back hospital,93,82.0,towering performance unflinching script michael haneke amour represents honest heartwrenching depiction deep love responsibility,224,10000,art house international,pg13 brief languagea disturbing actmature thematic material,drama,french france,michael haneke,margaret ménégoz stefan arndt veit heideuschka michael katz,michael haneke,dec 19 2012 limited,jul 13 2016,37m,2h 7m,le film du losange westdeutscher rundfunk bayerischer rundfunk,unknown,unknown,unknown,jeanlouis trintignant emmanuelle riva isabelle huppert alexandre tharaud william shimell rita blanco carole franck dinara droukarova laurent capelluto michael haneke michael haneke margaret ménégoz stefan arndt michael katz margaret ménégoz uwe schott michael katz darius khondji
275,embrace serpent,2015,early 1900s young shaman nilbio torres colombian amazon help sick german explorer jan bijvoet local guide miguel dionisio ramos search rare healing plant,96,85.0,rich visually thematically embrace serpent offer feast sens film fan seeking dose bracing originality,148,5000,art house international,unknown,drama history adventure,spanish,ciro guerra,cristina gallego,ciro guerra jacques toulemonde vidal,feb 17 2016 limited,oct 6 2016,13m,2h 3m,buffalo film co caracol televisión,unknown,unknown,unknown,jan bijvoet brionne davis nilbio torres miguel dionisio ramos luigi sciamanna antonio bolivar ciro guerra cristina gallego david gallego nascuy linares ciro guerra jacques toulemonde vidal
276,storm,2016,dissolute private detective hiroshi abe attempt reconnect distrustful family following death father,96,80.0,storm cross cultural line offer timeless observation parental responsibility personal bond capacity forgiveness,138,1000,art house international,unknown,drama,japanese,hirokazu koreeda,unknown,hirokazu koreeda,mar 17 2017 limited,jul 11 2017,2702k,1h 57m,gaga fugitive film,dolby digital,unknown,unknown,hiroshi abe kirin kiki taiyô yoshizawa hirokazu koreeda hirokazu koreeda hirokazu koreeda
277,vanishing,1988,rex gene bervoets saskia johanna ter steege enjoying biking holiday france stopping gas station saskia disappears confounded rex search everywhere avail three year later he still obsessed finding pleading case television putting poster ruining new relationship process eventually unassuming chemistry teacher raymond bernardpierre donnadieu approach rex intimating know happened,98,88.0,clinical maddening descent mind serial killer slowly unraveling hero culminating one scariest ending time,49,10000,art house international,unknown,mystery thriller,dutch,george sluizer,anne gordon george sluizer,unknown,unknown,mar 25 2017,unknown,1h 46m,argo film,unknown,unknown,unknown,bernardpierre donnadieu gene bervoets johanna ter steege gwen eckhaus george sluizer anne gordon george sluizer
278,afghan star,2009,director havana marking dive booming still young growing world pop culture afghanistan newly liberated 30 year stifling taliban rule country taken fervor expression documentary follows four contestant including two woman audition sing compete countrywide american idoltype competition called pop idol marking uncovers wonderfully vibrant community also surprisingly accepting,100,77.0,enlightening sobering documentary afghanistan xfactor,62,5000,art house international,unknown,documentary,english,havana marking,unknown,unknown,jun 26 2009 limited,nov 18 2016,1015k,1h 28m,roast beef production,unknown,unknown,unknown,havana marking
279,transit,2018,new masterwork director phoenix barbara film christian petzold,94,62.0,transit life title challenging drama capture character put audience state flux exerts unsettling pull,178,100,art house international,unknown,history drama,german,christian petzold,florian koerner von gustorf antonin dedet,christian petzold,mar 1 2019 limited,jun 27 2019,8153k,1h 41m,neon production arte zdf schramm film,unknown,imax scope 2351,unknown,franz rogowski paula beer godehard giese barbara auer sebastian hülk maryam zaree antoine oppenheim christian petzold christian petzold florian koerner von gustorf antonin dedet han fromm bettina böhler stefan
280,project nim,2011,1970s professor herb terrace team raise baby chimp human child part experiment intended break language barrier animal people,97,84.0,equal part hilarious poignant heartbreaking project nim tell compelling story masterfully also raise flag darker side human nature,146,10000,art house international,pg13 drug contentdisturbing imagessome strong languagethematic element,documentary,english,james marsh,simon chinn,elizabeth hess,jul 8 2011 limited,nov 30 2016,4101k,1h 39m,red box film,unknown,unknown,unknown,bern cohen reagan leonard anna may marsh dennis lauricella robert nesi james marsh elizabeth hess john battsek andrew ruhemann jamie laurenson nick fraser simon chinn hugo grumbar michael simmonds jinx godfrey
281,blue,1993,julie juliette binoche haunted grief living tragic auto wreck claimed life composer husband young daughter initial reaction withdraw relationship lock apartment suppress pain avoiding human interaction bustling street paris prof impossible eventually meet olivier benoît régent old friend harbor secret love could draw back reality,98,93.0,three color blue contains directorcowriter krzysztof kieslowski visually arresting emotionally resonant work boast outstanding performance juliette binoche bargain,46,25000,art house international,r,drama,french canada,krzysztof kieslowski,marin karmitz,unknown,unknown,mar 11 2017,5392k,1h 37m,mk2 production cab production canal france 3 fr 3,surround,unknown,unknown,juliette binoche benoît régent florence pernel hélène vincent philippe volter hugues quester emmanuelle riva julie delpy zbigniew zamachowski alain decaux krzysztof kieslowski marin karmitz
282,elevator gallows,1958,restless femme fatale florence carala jeanne moreau recruit lover julien tavernier maurice ronet murder wealthy husband simon jean wall office make appear like suicide tavernier dirty deed eagerly becomes trapped elevator return remove key piece evidence accidentally left behind taverniers unfortunate oversight set motion dark ripple event bloodies cold paris night,93,91.0,louis malles hypnotic debut noir genuine soul infusing tale best laid plan gone awry wistful performance swooning cinematography sultry soundtrack,57,1000,art house international,unknown,mystery thriller,french france,louis malle,jean thuillier,noël calef louis malle roger nimier,unknown,mar 11 2017,1048k,1h 30m,nouvelles éditions de film fr,mono,unknown,unknown,jeanne moreau maurice ronet jean wall george poujouly yori bertin lino ventura elga andersen micheline bona félix marten louis malle louis malle roger nimier jean thuillier mile davis jean mandaroux rino mondellini
283,monsieur lazhar,2011,recent emigrant fellag algeria take canadian classroom teacher tragic death,97,86.0,monsieur lahzar tender thoughtful portrait man hidden grief also compelling exploration teacherstudent dynamic,119,25000,art house international,pg13 mature thematic materialbrief languagea disturbing image,drama,french canada,philippe falardeau,luc déry kim mccraw,philippe falardeau,apr 13 2012 limited,aug 10 2016,20m,1h 34m,unknown,unknown,unknown,unknown,fellag danielle proulx brigitte poupart jules philip daniel gadouas louis champagne seddik benslimane philippe falardeau philippe falardeau kim mccraw
284,darbareye elly,2009,young teacher disappears introduced potential suitor northern iran,99,84.0,elly offer viewer performance powerful thoughtprovoking idea add another strong entry asghar farhadis impressive filmography,70,5000,art house international,unknown,mystery thriller drama,persian,asghar farhadi,asghar farhadi simaye mehr mahmoud razavi,asghar farhadi azad jafarian,unknown,aug 10 2016,1067k,1h 59m,unknown,unknown,unknown,unknown,golshifteh farahani shahab hosseini taraneh alidoosti merila zarei mani haghighi payman maadi rana azadivar ahmad mehranfar saber abbar asghar farhadi asghar farhadi azad jafarian asghar farhadi mahmoud razavi andrea bauer hossein djafarian hayedeh safiyari asghar farhadi
285,firework wednesday,2006,upon hearing engagement housekeeper roohi taraneh alidoosti housewife mozhde hedye tehrani sends betrothed enjoy free service local salon provided eavesdrop verify suspicion wealthy husband morteza hamid farokhnezhad affair misguided attempt mend samieis impossibly broken marriage roohi ignores mozhdes instruction naive meddling may throw couple even deeper turmoil,100,84.0,wellwritten powerfully acted firework wednesday give audience early assured glimpse writerdirector asghar farhadis emerging talent,44,1000,art house international,unknown,drama,persian,asghar farhadi,unknown,asghar farhadi mani haghighi,unknown,sep 23 2017,unknown,1h 44m,unknown,unknown,unknown,unknown,taraneh alidoosti hedye tehrani hamid farokhnezhad pantea bahram asghar farhadi asghar farhadi mani haghighi
286,class,2008,francois marin françois bégaudeau french language literature teacher innercity paris high school new school year begin introduces new class begin arduous process reaching marin encounter share problem student teen violence ethnic tension classmate education barrier within group test patience importantly resolve educator,95,82.0,energetic bright hybrid documentary style dramatic plotting look present future france interaction teacher student inner city high school,161,10000,art house international,pg13 language,drama,french france,laurent cantet,barbara letellier caroline benjo carole scotta simon arnal,françois bégaudeau robin campillo laurent cantet,dec 19 2008 limited,apr 16 2012,38m,2h 9m,france 2 fr2 agence nationale pour la cohésion sociale et legalité de chance haut et court région iledefrance cinécinéma cofinova 4 procirep france 2 cinéma canal centre national de la cinematographie fonds image de la diversité soficinéma 3 medium programme european union,unknown,unknown,unknown,françois bégaudeau rachel regulier franck keita wei huang agame malemboemene angélica sancio arthur fogel laurent cantet françois bégaudeau robin campillo laurent cantet barbara letellier caroline benjo carole scotta simon arnal pierre milon
287,last train home,2009,annually estimated 130 million factory worker china migrate city employment back village grew documentary spotlight married couple chen zhang make journey chen zhang must struggle reconnect child see year discover daughter decided drop school work factory begin questioning value sacrifice,100,87.0,last train home haunting vivid documentary exploring human toll china economic boom intimate unforgettable detail,54,5000,art house international,unknown,documentary,chinese,lixin fan,mila aungthwin daniel cross,unknown,unknown,mar 23 2017,2858k,1h 25m,unknown,unknown,unknown,unknown,lixin fan mila aungthwin daniel cross olivier alary lixin fan yung chang lixin fan mary stephen
288,maria full grace,2004,seventeenyearold colombian maria catalina sandino moreno desperate pregnant large family care shes forced leave demanding job altercation bos needing work soon possible encounter charming franklin john álex toro offer dangerous job drug mule cocaine pellet stomach maria fly new york drug dropoff find new line work may far riskier initially seemed,97,87.0,striking debut moreno carry movie put human face drug trade,146,25000,art house international,r languagedrug content,drama,english,joshua marston,paul mezey,joshua marston,unknown,dec 22 2017,65m,1h 41m,santa fe production,surround,unknown,unknown,catalina sandino moreno yenny paola vega guilied lopez patricia rae wilson guerrero jaime osorio gómez johanna andrea mora joshua marston joshua marston paul mezey jaime osorio gómez jim denault becky glupczynski monica marulanda
289,look silence,2014,optician confronts men killed brother never knew 1960s indonesian genocide,96,90.0,look silence delivers less shocking yet terribly compelling companion piece joshua oppenheimer act killing,138,5000,art house international,pg13 thematic materialgraphic desc inhumanitygraphic desc atrocity,documentary,indonesian,joshua oppenheimer,signe byrge sørensen,unknown,jul 17 2015 limited,mar 4 2016,1091k,1h 39m,final cut real,unknown,unknown,unknown,werner herzog errol morris andré singer nil pagh andersen
290,left foot,1989,one expects much christy brown daniel daylewis boy cerebral palsy born workingclass irish family though christy spastic quadriplegic essentially paralyzed miraculous event occurs age 5 demonstrates control left foot using chalk scrawl word floor help steely mother brenda fricker shortage grit determination christy overcomes infirmity become painter poet author,98,92.0,doubt come left foot daniel daylewis performance movie refusal go downbeat keep viewer mind afterwards,41,25000,art house international,r,biography,english,jim sheridan,noel pearson,unknown,unknown,apr 21 2016,145m,1h 43m,granada television,unknown,unknown,unknown,daniel daylewis ray mcanally brenda fricker ruth mccabe fiona shaw eanna macliam alison whelan declan croghan hugh oconor cyril cusack jim sheridan paul heller steve morrison noel pearson jack conroy j patrick duffner nuala moiselle kevin barker
291,nostalgia light,2010,chile atacama desert widow search bone loved one left pinochets atrocity,100,84.0,unknown,48,2500,art house international,unknown,documentary,spanish,patricio guzmán,meike marten renate sachse,patricio guzmán,unknown,may 10 2016,unknown,1h 30m,unknown,unknown,unknown,unknown,valentina rodríguez verónica rosselot meike marten renate sachse katell djian
292,throne blood,1957,returning lord castle samurai warrior washizu toshirô mifune miki minoru chiaki waylaid spirit predicts future first part spirit prophecy come true washizus scheming wife asaji isuzu yamada press speed rest spirit prophecy murdering lord usurping place director akira kurosawa resetting william shakespeare macbeth feudal japan one acclaimed film,95,94.0,career high point akira kurosawa one best film adaptation shakespeare play,43,10000,art house international,unknown,drama,japanese,akira kurosawa,akira kurosawa sojiro motoki,unknown,nov 22 1957 wide,nov 17 2016,unknown,1h 48m,toho company ltd kurosawa production,mono,academy 1331,unknown,toshirô mifune isuzu yamada takashi shimura minoru chiaki akira kubo takamaru sasaki chieko naniwa akira kurosawa shinobu hashimoto ryûzô kikushima akira kurosawa hideo oguni akira kurosawa sojiro motoki asakazu nakai akira kurosawa
293,prophet,2009,acclaimed crime drama follows malik el djebena tahar rahim delinquent young muslim man struggling get french prison taken wing powerful corsican mob bos cesar luciani niels arestrup begin performing regular assignment proving invaluable imposing criminal malik rise mob rank gain power also enemy situation eventually brings conflict mentor,96,89.0,featuring impressive star turn newcomer tahar rahim prophet french gangster film filled arresting immediate detail,162,10000,art house international,r languagedrug materialnuditysexual contentstrong violence,crime drama,french france,jacques audiard,martine cassinelli,jacques audiard thomas bidegain thomas bidegain,feb 26 2010 limited,apr 16 2012,21m,2h 34m,centre national de la cinématographie cnc france 2 fr2 conseil régional de provencealpes côte dazur chic film production neon production page 114 sofica soficinéma 4 celluloid dream france 2 cinéma cinécinéma sofica ugc 1 soficinéma 5 zyzzyx llc canal union générale cinématographique ugc région iledefrance bim distribuzione,unknown,unknown,unknown,tahar rahim niels arestrup adel bencherif hichem yacoubi reda kateb antoine basler gilles cohen pascal henault foued nassah jeanemmanuel pagni jacques audiard jacques audiard thomas bidegain martine cassinelli alexandre desplat stéphane fontaine richard rousseau juliette welfling thomas bidegain
294,mafioso,1962,antonio travel sicily wife child meet family earns favor local mobster sends find enemy mob new york,96,80.0,mafioso begin amusing farce skillfully transforms portentous social drama,50,500,art house international,unknown,comedy crime drama,italian,alberto lattuada,tonino cervi,rafael azcona marco ferreri,unknown,mar 18 2008,3986k,1h 45m,dino de laurentiis corp,unknown,unknown,unknown,alberto sordi norma bengell gabriella conti ugo attanasio cinzia bruno katiusca piretti armando tine lilly bistrattin michèle bailly francesco lo briglio alberto lattuada rafael azcona bruno caruso marco ferreri nino rota armando nannuzzi nino baragli carlo egidi
295,solaris,1972,psychologist sent space station orbiting planet called solaris investigate death doctor mental problem cosmonaut station soon discovers water planet type brain brings repressed memory obsession,94,90.0,solaris haunting meditative film us scifi raise complex question humanity existence,62,25000,art house international,pg,drama sci fi,russian,andrei tarkovsky,viacheslav tarasov,unknown,mar 20 1972 wide,jan 9 2016,unknown,2h 49m,unit four,mono,scope 2351,unknown,natalya bondarchuk donatas banionis jüri järvet nikolay grinko anatoliy solonitsyn so sarkisyan olga barnet aleksandr misharin andrei tarkovsky stanislaw lem andrei tarkovsky viacheslav tarasov vadim yusov lyudmila feyginova mikhail romadin
297,kid bike,2011,abandoned father young boy thomas doret begin act anger despite best effort kindhearted caretaker cécile de france,96,76.0,thanks dardenne brother typically fine direction kid bike heartwrenching thematically spiritually rich drama,133,25000,art house international,pg13 thematic elementssmokingbrief languageviolence,drama,french canada,jeanpierre dardenne luc dardenne,jeanpierre dardenne luc dardenne denis freyd,jeanpierre dardenne luc dardenne,mar 16 2012 limited,mar 9 2016,205k,1h 27m,lucky red,unknown,unknown,unknown,cécile de france jérémie renier fabrizio rongione olivier gourmet thomas doret egon di mateo baptiste sornin claudy delfosse jeanpierre dardenne luc dardenne jeanpierre dardenne luc dardenne delphine tomson jeanpierre dardenne luc dardenne denis freyd alain marcoen maira ramedhan lévy
298,beautiful laundrette,1985,seedy corner london omar gordon warnecke young pakistani given rundown laundromat uncle saeed jaffrey hope turn successful business soon omar attacked group racist punk defuses situation realizes leader former lover johnny daniel daylewis men resume relationship rehabilitate laundromat together various social force threaten compromise success,98,75.0,beautiful laundrette fast place much say show including highly watchable freshfaced daniel daylewis,40,5000,art house international,r,comedy drama gay lesbian,english,stephen frears,tim bevan sarah radclyffe,hanif kureishi,unknown,jan 17 2017,unknown,1h 37m,working title film channel four film,mono,unknown,unknown,daniel daylewis gordon warnecke saeed jaffrey roshan seth derrick branche shirley anne field rita wolf souad faress stephen frears hanif kureishi tim bevan sarah radclyffe stanley myers ludus tonalis oliver stapleton mick audsley debbie mcwilliams hugo luczycwyhowski
299,moolaadé,2004,fear enduring genital mutilation group girl flee purification ceremony take refuge collé fatoumata coulibaly woman spared daughter fate collé cast spell protect girl cause much consternation among among village elder retaliation confiscate radio woman villager demand spell broken collé nevertheless hold fast,99,84.0,vibrant powerful poignant glimpse struggle woman modern africa,74,1000,art house international,unknown,drama,bambara,ousmane sembene,unknown,ousmane sembene,unknown,may 1 2008,2146k,2h 4m,unknown,unknown,unknown,unknown,fatoumata coulibaly salimata traoré aminata dao
300,happened one night,1934,frank capra acclaimed romantic comedy spoiled heiress ellie andrew claudette colbert impetuously marries scheming king westley leading tycoon father walter connolly spirit away yacht jumping ship ellie fall cynical newspaper reporter peter warne clark gable offer help reunite new husband exchange exclusive story travel reporter find falling feisty young heiress,99,93.0,capturing star director finest happened one night remains unsurpassed countless romantic comedy inspired,96,25000,classic,unknown,romance,english,frank capra,frank capra harry cohn,samuel hopkins adam robert riskin,unknown,apr 16 2012,unknown,1h 45m,columbia picture corporation,mono,35mm flat 1371,unknown,claudette colbert clark gable walter connolly roscoe karns alan hale ward bond frank capra frank capra samuel hopkins adam robert riskin frank capra
301,citizen kane,1941,reporter assigned decipher newspaper magnate charles foster kanes orson welles dying word investigation gradually reveals fascinating portrait complex man rose obscurity staggering height though kanes friend colleague jedediah leland joseph cotten mistress susan alexander dorothy comingore shed fragment light kanes life reporter fear may never penetrate mystery elusive man final word rosebud,99,90.0,orson welles epic tale publishing tycoon rise fall entertaining poignant inventive storytelling earning reputation landmark achievement film,116,100000,classic,pg,drama,english,orson welles,orson welles,herman j mankiewicz orson welles john houseman,may 1 1941 wide,jun 28 2016,9773k,1h 59m,mercury production rko radio picture inc,mono,academy 1331,unknown,orson welles joseph cotten ruth warrick everett sloane agnes moorehead dorothy comingore ray collins george coulouris william alland paul stewart orson welles herman j mankiewicz orson welles john houseman orson welles bernard herrmann gregg toland robert wise van nest polglase perry ferguson
302,casablanca,1942,rick blaine humphrey bogart owns nightclub casablanca discovers old flame ilsa ingrid bergman town husband victor laszlo paul henreid laszlo famed rebel german tail ilsa know rick help get country,99,95.0,undisputed masterpiece perhaps hollywood quintessential statement love romance casablanca improved age boasting careerdefining performance humphrey bogart ingrid bergman,122,250000,classic,pg,drama,english,michael curtiz,hal b wallis,julius j epstein philip g epstein howard koch,jan 23 1943 wide,aug 15 2008,unknown,1h 42m,warner brother,mono,flat 1371,unknown,humphrey bogart ingrid bergman paul henreid claude rain conrad veidt peter lorre sydney greenstreet dooley wilson marcel dalio sz sakall michael curtiz murray burnett joan alison julius j epstein philip g epstein howard koch hal b wallis jack l warner mk jerome jack scholl
303,wizard oz,1939,tornado rip kansa dorothy judy garland dog toto whisked away house magical land oz follow yellow brick road toward emerald city meet wizard en route meet scarecrow ray bolger need brain tin man jack haley missing heart cowardly lion bert lahr want courage wizard asks group bring broom wicked witch west margaret hamilton earn help,98,89.0,absolute masterpiece whose groundbreaking visuals deft storytelling still every bit resonant wizard oz mustsee film young old,121,250000,classic,g,kid family musical fantasy,english,victor fleming,victor fleming mervyn leroy,noel langley florence ryerson edgar allan woolf,aug 25 1939 wide,sep 29 2009,55m,1h 41m,metro goldwyn mayer,mono,flat 1371,unknown,judy garland frank morgan ray bolger bert lahr jack haley billie burke margaret hamilton charley grapewin pat walshe clara blandick victor fleming l frank baum noel langley florence ryerson edgar allan woolf victor fleming mervyn leroy harold arlen herbert stothart felix mendelssohn bartholdy
304,eve,1950,backstage story revolving around aspiring actress eve harrington tattered forlorn eve show dressing room broadway megastar margo channing telling melancholy life story margo friend margo take eve wing appears eve conniver us margo,99,94.0,smart sophisticated devastatingly funny eve hollywood classic improves age,98,25000,classic,unknown,drama,english,joseph l mankiewicz,darryl f zanuck,joseph l mankiewicz,unknown,nov 25 2015,102k,2h 18m,twentieth century fox,mono,flat 1371,unknown,bette davis anne baxter celeste holm george sander gary merrill hugh marlowe thelma ritter marilyn monroe gregory ratoff barbara bates joseph l mankiewicz joseph l mankiewicz darryl f zanuck alfred newman franz liszt milton krasner barbara mclean lyle r wheeler george w davis
305,rebecca,1940,story young woman marries fascinating widower find must live shadow former wife rebecca died mysteriously several year earlier young wife must come grip terrible secret handsome cold husband max de winter laurence olivier must also deal jealous obsessed mr danvers judith anderson housekeeper accept mistress house,100,92.0,hitchcock first american film best picture winner rebecca masterpiece haunting atmosphere gothic thrill gripping suspense,83,25000,classic,unknown,mystery thriller,english,alfred hitchcock,david selznick,robert e sherwood joan harrison,apr 12 1940 wide,oct 14 2008,unknown,2h 10m,selznick international picture,mono,flat 1371,unknown,laurence olivier joan fontaine judith anderson george sander nigel bruce reginald denny c aubrey smith gladys cooper florence bates leo g carroll alfred hitchcock philip macdonald robert e sherwood joan harrison david selznick franz waxman hal c kern
307,modern time,1936,comedic masterpiece find iconic little tramp charlie chaplin employed stateoftheart factory inescapable machinery completely overwhelms various mishap keep getting sent prison various jail stint meet befriends orphan girl paulette goddard together apart try contend difficulty modern life tramp working waiter eventually performer,100,95.0,slapstick skewering industrialized america modern time politically incisive laughoutloud hilarious,61,25000,classic,g,comedy,english,charlie chaplin,charlie chaplin,charlie chaplin,feb 5 1936 wide,may 22 2017,1632k,1h 29m,charles chaplin production,mono,flat 1371,unknown,charlie chaplin paulette goddard henry bergman tiny sandford chester conklin hank mann stanley blystone cecil reynolds charlie chaplin charlie chaplin charlie chaplin charlie chaplin ira h morgan jack wilson carter dehaven
308,night opera,1935,marx brother run amuck world opera otis b driftwood groucho marx meet aspiring singer ricardo allan jones determined win love fellow performer rosa kitty carlisle aided fiorello chico marx tomasso harpo marx otis attempt unite young couple face opposition preening star lassparri walter woolf king also sight rosa traveling italy new york otis friend rally try win day,97,91.0,watermelon may go season night opera marx brother daffy laugh never anything less uproariously fresh,69,10000,classic,unknown,comedy,english,sam wood,unknown,unknown,unknown,jan 1 2009,unknown,1h 33m,metro goldwyn mayer,unknown,unknown,unknown,groucho marx harpo marx kitty carlisle chico marx margaret dumont allan jones walter woolf king sig ruman sam wood
309,third man,1949,set postwar vienna austria third man star joseph cotten holly martin writer pulp western arrives penniless guest childhood chum harry lime orson welles find dead martin develops conspiracy theory learning third man present time harrys death running interference british officer maj calloway trevor howard falling headoverheels harrys griefstricken lover anna alida valli,99,93.0,atmospheric thriller one undisputed masterpiece cinema boast iconic performance joseph cotten orson welles,83,50000,classic,unknown,mystery thriller,english,carol reed,alexander korda carol reed david selznick,graham greene,feb 1 1949 wide,sep 5 2016,4470k,1h 44m,london film production british lion film corporation,mono,flat 1371,unknown,orson welles joseph cotten trevor howard alida valli ernst deutsch erich ponto siegfried breuer bernard lee hedwig bleibtreu carol reed graham greene alexander korda graham greene alexander korda hugh perceval carol reed david selznick anton karas robert krasker
